conattrA conattrP conattrAP
0.980432 NA -0.422639
-0.575047 NA 0.937944
-1.284244 NA 0.02879
-0.97039 NA 0.313696
-0.410291 NA 0.144265
-0.574363 NA -1.796713
1.300285 NA -1.156012
0.38064 NA -1.460711
-0.673726 NA 0.110169
-1.495526 NA 0.291499
-0.283048 NA -1.307139
-1.406821 NA 0.439156
0.711995 NA -0.891039
0.447678 NA 1.048593
-0.551273 NA 0.142942
-1.688959 NA -2.327539
-2.149394 NA -1.052244
0.467857 NA -1.332701
0.204108 NA 1.671682
0.080968 NA -0.362689
-0.77024 NA 1.170938
-0.579063 NA 1.539734
-0.283486 NA 0.83842
0.977221 NA 0.439961
-1.499377 NA -1.260335
-1.03502 NA -0.199889
-0.929477 NA 1.018769
-0.800019 NA -0.420982
0.068337 NA 2.144419
0.506242 NA 2.341643
1.379787 NA -2.093067
-1.183109 NA -1.259989
1.630655 NA -1.310147
-0.855563 NA -1.017352
0.550586 NA -0.485624
-1.419685 NA 0.810327
1.255724 NA -0.512131
0.4695 NA 2.766713
0.335004 NA 1.211498
1.906442 NA -0.388002
-0.17951 NA 0.814858
-1.031669 NA 0.591786
-0.472691 NA 1.070575
-1.043831 NA 1.085242
-0.593887 NA -0.015566
-0.178584 NA 1.180139
-0.755144 NA -0.209621
0.028327 NA 1.083412
-0.0087 NA -0.106174
-0.953133 NA 0.778721
-0.240095 NA 1.309346
-0.962369 NA -0.559482
0.252929 NA 1.289272
0.246696 NA -0.201762
0.41525 NA -0.109843
-0.784278 NA 0.552052
0.244438 NA 0.245494
0.871363 NA -0.5488
1.349185 NA -2.194708
-0.031343 NA -0.247657
0.154435 NA -0.280641
-0.767335 NA 0.046792
-0.835803 NA -0.295005
0.785464 NA -2.099368
-2.139122 NA 0.319147
0.498071 NA 0.945906
-1.136818 NA 1.266939
-1.069994 NA -0.284737
0.337838 NA -0.266629
0.96307 NA 0.074316
-0.94169 NA -0.489021
1.023635 NA 0.338464
-0.461963 NA 0.88528
1.124003 NA -1.009108
-0.636652 NA 2.022297
0.885304 NA -1.036625
0.955622 NA -0.255215
-1.364687 NA 0.305881
-0.91942 NA 0.121164
-0.064161 NA -0.623693
0.659495 NA 0.573432
0.242474 NA -0.147361
1.055596 NA 0.446089
1.29281 NA -0.33596
1.540365 NA 0.009069
0.610877 NA 0.733231
0.980571 NA 0.95902
0.811985 NA 1.386504
-0.618565 NA 2.15936
1.204681 NA -0.46034
-0.007314 NA 1.016774
2.053276 NA -1.32184
-0.000506 NA 1.716832
1.652592 NA 0.633945
1.775431 NA -0.504688
0.397081 NA 0.275584
1.342316 NA 0.051629
-0.68726 NA -0.466124
